Title,Link,Date 
Humble Quest, /reviews/albums/maren-morris-humble-quest/, Maren-Morris 
Warm Chris, /reviews/albums/aldous-harding-warm-chris/, Aldous-Harding 
Electricity, /reviews/albums/ibibio-sound-machine-electricity/, Ibibio-Sound Machine 
Recordings From the Åland Islands, /reviews/albums/jeremiah-chiu-marta-sofia-honer-recordings-from-the-aland-islands/, Jeremiah-ChiuMarta Sofia Honer 
The Bear, /reviews/albums/walter-martin-the-bear/, Walter-Martin 
Nightclub Daydreaming, /reviews/albums/ed-schraders-music-beat-nightclub-daydreaming/, Ed-Schrader’s Music Beat 
Labyrinthitis, /reviews/albums/destroyer-labyrinthitis/, Destroyer 
In/Out/In, /reviews/albums/sonic-youth-inoutin/, Sonic-Youth 
Weavings, /reviews/albums/various-artists-weavings/, Various-Artists 
Adolescence, /reviews/albums/baynk-adolescence/, BAYNK 
